Precio,Descripcion,Año,Km
2000000,Honda civic 2006 18 at,2006,286000
4900000,PEUGEOT 208 ALLURE A/T 16 / 2020,2020,13500
3200000,partner patagonica 16 nafta vtc plus año 2014,2014,140000
1290000,VW SAVEIRO 19 DIESEL CAB EXT AÑO 2001,2001,190000
6490000,amarok dc 20 tdi 180 cv 4x2 tredline año 2014,2014,180000
3200000,PEUGEOT 308 16 ALLURE,2014,99000
2920000,FORD FIESTA SE 16 2015,2015,87000
8600000,TOYOTA HILUX DX 4X4 2019,2019,61000
5800000,CHEVROLET CRUZE 14 5P CON 13000,2020,13000
4900000,CHEVROLET CRUZE 14T LT 2018,2018,71000
2950000,DUSTER 2014 CONFORT PLUS 16 DIGNA DE VER,2014,75000
18600,MERCEDES BENZ C 250 BEFFICIENCY 2011 IMPECABLE,2011,129000
2500000,BORA 2010 MOTOR 20,2010,160000
22500,Honda hrv 2017,2017,41000
16900,Mercedes Benz GLK 300 City 4Matic año 2010 Excelente estado muy cuidada,2010,170000
2830000,208 15 5P ALLURE NAV 2014,2014,143000
40000,Jeep compass limited 2019 at,2019,76000
1990000,VW FOX 16 3P CONFORTLINE L/10 2010,2010,157400
4000000,Peugeot 208 allure 2019,2019,17000
1750000,Chevrolet Astra GLS 20 nafta 5 ptas 2009 con GNC,2009,122000
2300000,Citroen C3 tendence pack 2013,2013,97000
3400000,Ford eco sport titanium 16,2013,60000
2600000,Volkswagen up move,2017,106000
62000,Toyota Camry HIBRIDO 2022 Patentado Auto de GERENCIA,2022,1350
1900000,Agile 2013 ls,2013,146000
3750000,FORD FIESTA S PLUS 16 NAFTA 5 ptas 2018 s REALES,2018,31800
4300000,Ford ka se,2020,26000
3790000,PEUGEOT 408 ALLURE PLUS 16THP MANUAL 2017 NEGRO UNICO DUEÑO,2017,48000
4000000,Ford Focus SE plus 2018,2018,59000
2750000,FORD RANGER XL,2004,358000
12000,Vendo mitsubishi L200 2007 4x4 hpe sport,2007,200000
450000,VENDO SENDA 92,1992,0
14000,308cc CABRIOLET CONVERTIBLE DESCAPOTABLE,2010,112000
1600000,Muy buen estado con gnc,2009,153000
4800000,FIAT TORO FREEDOM 2017 4X4 16V 20 M PACK XTREME,2017,166000
2300000,Vendo Citroen Berlingo 16 HDI SX pack,2011,113999
560000,Fiat uno gnc,1997,250000
2740000,Ford fiesta kinetic sedan se plus modelo 2016,2016,185000
2750000,Volkswagen Suran 16 Highline,2013,92000
3600000,Ford Fiesta SE,2016,65000
47000,Ford Bronco Wildtrack 4x4,2021,400
1200000,Renault megane unique,2004,168000
2700000,Chevrolet Sonic LTZ,2013,110001
1730000,URGENTE!!! Citroen C4 5P 16 2010,2010,171500
1600000,Vendo saveiro,2009,160000
3300000,toyuota etios inmaculado,2017,104000
5900000,Jeep renegade automática 2018 SPORT plus,2018,60000
3950000,alfa romeo mito 2016,2016,39000
4300000,toyota corolla 2017 XEI AUTOMATICO,2017,130000
2950000,ford ecosport se 2013,2013,109000
2700000,Ford Fiesta Kinetic 2015 Nafta,2015,120000
2900000,PEUGEOT 308 ALLURE NAVEGADOR 2015 16,2015,80000
2850000,FORD FIESTA S PLUS 2017,2017,110000
2650000,CHEVROLET PRISMA 14 LTZ FULL 2014,2014,132000
2890000,CHEVROLET PRISMA LT 2016,2016,88000
7950000,VOLKSWAGEN AMAROK HIGHLINE PACK 4x4 MANUAL 2017,2017,116000
1700000,VENDO PERMUTO FORD RANGER TURBO DIESEL 2000,2000,290000
1000000,FORD KA FLY PLUS 2011,2011,142000
6450000,Nissan Frontier Le 4x4 mt,2016,107000
400000,Ford sierra 1991,1991,100000
5500000,BMW serie 1 118 i Urban 5ptas 2012,2012,90000
1450000,Suzuki fun 2009 14 3 P,2009,183000
3450000,Volkswagen UP Cross 10 2018,2018,40000
1350000,C4 Sx 20 HDI año 2008,2008,140000
3350000,Citroen C4 Lounge Tendance 16 Hdi 115cv 2015,2015,110000
350000,Senda Disel 1996,1996,90000
3400000,Vendo Suran 2017,2017,70000
4850000,Volkswagen Amarok 20 Tdi (180cv) 4x2 C/doble Trendline 2013,2013,145000
2650000,Renault Fluence 16 Dynamique Pack 2016,2016,102000
2950000,Vendo logan 2018 privilege 16 16 valvulas,2018,62000
10850000,Vendo hilux srv 4x2 2017,2017,115000
6000000,TCross Modelo 2020,2020,55000
4400000,Escosport SE automático,2018,40000
2600000,Camioneta Chevrolet S 10 Modelo 2007,2007,130000
4000000,Vendo Tracker LTZ Automática,2014,97000
1100000,Vendo volksvagen gol 2005 nafta,2005,10000
950000,Vendo corsa 2 Gl 2005,2005,220000
2400000,Ford Focus Trend Plus 18 TDCI,2010,167000
3600000,Renault Duster 16 con GNC modelo 2015,2015,98000
2550000,Renault logan 16 expression Tope de gama año 2017 solo 78mil ,2017,78000
13000,Audi A4 Avant 18Tfsi Multitronic 2009,2009,130000
3100000,TOYOTA ETIOS XS 15,2015,90000
3750000,Peugeot partner furgon HDI,2019,75000
850000,Vendo renault 9 txe,1992,150000
100,NISSAN MARCH 16 ACTIVE PURE DRIVE O 2017,2017,10
11800,MINI COOPER S HOT PEPPER R53 FULL FULL TURBO AUTOMÁTICO SECUENCIAL 2005,2005,76000
3850,NISSAN FRONTIER 25 DC 4X4 LE 6TA MANUAL 2010,2010,178000
2800000,Renault logan 16,2017,56800
1880,RENAULT SANDERO STEPWAY 16 PRIVILEGE 2013,2013,218000
66800,MERCEDES BENZ GLC 300 4MATIC AMG 2017,2017,8100
1980,PEUGEOT 207 COMPACT 14 XS 2015,2015,17400
2950000,VENDO GOL TREND 2018 GNC,2018,53700
450000,Renault Logan 2013 GNC desarmado con faltantes,2013,200000
2650000,Renault Kangoo 16 Nafta 58000 ,2015,58000
10000,Volkswagen up! Move,2018,20000
1500000,CHEVROLET APACHE CARROZADA,1962,111
2000000,VOLKSWAGEN GOL TREND CONFORT 16 2011 NAFTA/GNC,2011,162000
2100000,Citroën C3 Exclusive (2012),2012,113981
1870000,FIAT UNO 2013 GNC,2013,120000
3490000,Vendo Fiat Argo,2018,39500
4000,Jeep IKA 4x4,1958,11111
